,precipitation,temperature
count,1405.0,1517.0
mean,0.21681850533807792,71.04152933421226
std,0.5413993940990451,3.745919825315848
min,0.0,56.0
25%,0.0,69.0
50%,0.03,71.0
75%,0.15,74.0
max,6.42,83.0
