,precipitation,temperature
count,1574.0,1700.0
mean,0.13635959339263018,74.94411764705882
std,0.33573125251631153,3.2574170516565566
min,0.0,64.0
25%,0.0,73.0
50%,0.02,75.0
75%,0.12,77.0
max,4.43,85.0
